1240,4,same,up,down
216.18,215.48,216.245,215.13,2
215.5492,216.65,216.83,214.57,2
216.94,217.19,217.65,216.405,1
217.12,216.46,217.54,216.13,1
216.77,216.29,217.11,215.75,2
216.52,217.19,217.27,215.62,1
216.75,216.53,217.17,215.76,2
216.65,217,217.06,215.97,1
217.24,216.41,217.3,216.1,2
216.265,216.96,217.22,215.75,1
217.085,216.75,217.37,216.24,1
216.19,215.92,216.23,215.63,1
216.4092,215.97,216.6,215.67,2
215.83,216.78,217.0125,215.308,2
216.12,216.4,216.67,215.66,2
214.92,215.44,215.45,214.35,1
214.95,214.53,215.3,213.4308,1
213.4,213.19,214.07,212.95,1
212.65,211.05,212.94,210.7785,2
209.526,209.87,210.6495,208.63,1
209.66,207.83,209.8,207.06,2
208.41,208.95,209.08,207.71,1
209.9208,209.36,210.49,209.29,1
209.475,207.21,209.54,206.56,1
206.66,204.84,206.93,204.72,1
203.1997,201.48,203.23,201.12,2
199.6,201.59,201.6,198.65,2
203.13,203.63,210.8463,202.72,1
210.81,209.81,210.87,209.27,2
208.1,208.65,209.5,207.93,1
208.44,208.3,208.92,207.78,2
207.85,208.82,209.61,207.75,2
206.52,207.17,207.2,205.75,1
208.37,206.73,208.57,205.59,2
207.75,208.54,209.36,207.53,1
208.04,208,208.74,206.9199,2
208.4492,209.36,210.37,208.35,2
210.07,210.46,210.86,209.43,1
212.08,211.51,212.22,211.19,1
212.37,211.84,212.52,211.6899,1
211.68,211.525,212.34,211.5,1
211.35,210.7,211.77,210.51,1
210.28,210.25,210.69,208.86,1
210.91,209.8,210.93,209.2399,1
210.27,209.12,210.48,208.89,2
209.84,210.56,210.69,209.18,1
210.24,209.53,210.25,209.47,2
209.34,209.44,209.71,208.97,1
209.28,208.67,209.77,207.8691,1
207.87,206.17,208.24,206.14,2
205.21,205.51,205.84,204.985,1
205.49,204.92,206.1,204.86,1
204.2,204.06,204.54,202.78,1
204.91,204.44,206.3,203.63,2
204.8508,206.46,206.8,204.23,1
206.78,204.96,207.34,204.89,2
204.76,206.21,206.86,204.38,2
206.56,207.29,207.4899,205.37,2
206.5,207.91,208.54,206.5,1
208.45,206.72,208.5,206.64,1
205.8892,205.57,206.4,205.36,1
205.72,204.06,205.77,203.88,2
204.97,205.56,205.98,204.47,1
205.01,204.99,205.85,204.42,2
206.1592,206.52,206.8,205.28,1
207.97,206.92,208.18,206.41,2
206.3308,206.72,207.13,205.03,2
207.4475,208.46,209.76,206.96,1
209.35,208.47,209.81,208.05,2
208.9192,209.04,209.52,208.36,1
208.61,208.26,208.66,207.54,1
208.97,208.55,209.29,207.91,2
208.97,210.12,210.25,208.65,1
210.1,209.95,210.92,209.39,1
209.9,209.74,210.2,208.94,1
209.2392,207.14,209.28,207,2
207.78,208.01,208.1721,207.4,2
208.01,208.07,208.6,207.6,1
208.0008,207,208.1,206.84,1
