1240,same,up,down
212.59,212.75,213.18,1
212.48,212.29,212.55,1
212.3,211.87,212.3,2
210.61,210.73,211.28,1
210.68,209.72,211.05,1
209.77,208.99,209.9,1
207.48,207.29,207.98,2
204.9,207.04,207.35,2
204.53,206.45,206.7645,1
208.02,206.96,208.17,1
206.72,205.77,207.65,2
207.31,208.07,208.27,2
207.5,207.73,208.03,2
205.85,207.26,207.32,2
205.42,208.045,209.828,2
209.82,210.29,210.58,2
209.86,211.1,211.25,2
210.5,211.72,212.17,2
212.04,212.14,212.44,2
211.89,211.905,212.59,2
210.81,211.46,211.55,1
212.78,211.31,213.34,0
210.59,210.59,211.32,1
210.25,208.93,210.35,1
209.11,208.64,209.45,2
210.01,210.64,211.482,1
211.63,211.48,212.09,1
210.95,209.37,211.41,0
208.45,208.45,209.1,2
208.48,209.64,209.82,2
209.77,209.95,210.58,2
210.1292,211.07,211.859,2
211.92,212,212.67,1
211.36,211.02,212.19,2
211.57,211.94,212.34,2
211.14,212.38,212.43,1
212.46,212.33,212.59,1
212.7,211.25,212.98,2
210.7,212.4,212.9089,2
212.99,213.04,213.54,1
