2497,4,same,up,down
68.16,1737840,67.48,68.29,1
67.54,1550524,67.16,67.57,1
67.5487,3387425,67.53,67.91,1
67.53,1537518,67.36,67.53,1
67.51,4201142,67.37,67.57,1
67.1,2007213,66.33,67.1105,1
66.3,2181656,66.73,66.82,2
66.15,1294628,65.98,66.15,1
66.46,944932,66.48,66.51,2
66.3,1825096,65.96,66.34,1
66.18,1367989,66.2,66.39,2
65.53,1978853,65.53,65.62,0
65.38,1639902,65.56,65.6,2
65.53,1146220,64.94,65.6,1
65.24,1647393,65.15,65.35,1
65.21,2230352,65.41,65.72,2
64.3,1267522,64.47,64.65,2
64.59,1564957,64.04,64.62,1
63.96,2096214,64.78,64.82,2
64.75,3100792,64.64,64.94,1
64.74,3193948,64.42,64.74,1
64.25,1635542,63.86,64.26,1
63.59,1728212,63.46,63.71,1
63.83,2053123,62.91,63.92,1
61.89,2382857,62.91,63.01,2
62.62,1320387,62.85,63.29,2
62.41,5062369,62.91,62.92,2
62.18,1893530,62.6,62.85,2
62.9,1523564,63.97,64.3,2
63.58,1369644,63.95,64,2
64.57,2099221,63.7,64.7135,1
63.44,1964426,64.5,64.62,2
64.91,3885735,64.52,65.16,1
64.74,1241252,64.77,65.14,2
64.71,2031036,64.94,65.25,2
64.01,1746836,64.65,64.87,2
64.04,1561307,63.95,64.41,1
64.04,2363388,63.21,64.15,1
61.44,1229655,61.46,61.83,2
61.25,1887091,61.09,61.46,1
59.46,1010996,59.49,60.18,2
59.648,2141685,60.43,60.51,2
61.01,1586548,61.12,61.49,2
61.3,2008316,61.53,61.59,2
62.46,2139758,62.8,62.86,2
62.55,1795247,63.48,63.65,2
63.59,3341821,63.99,64.78,2
64.67,1076629,64.08,64.97,1
64.28,1189699,64.69,64.75,2
64.92,1234100,64.45,65.05,1
63.66,1363044,63.95,63.99,2
63.1,1885639,64.04,64.34,2
65.6,1909560,65.17,65.66,1
64.82,1454853,64.44,64.84,1
64.49,1625236,64.3,64.61,1
64.84,2056652,64.28,64.93,1
63.6,2117716,63.5,63.784,1
62.57,2836973,62.4,63.28,1
64.28,1729593,65.15,65.25,2
65.95,1285840,65.65,66.064,1
65.89,5325886,65.43,66.35,1
63.69,1772874,63.73,63.89,2
63.006,3056511,63.96,64,2
64.32,1737524,63.44,64.44,1
63.26,1808326,62.83,63.38,1
62.09,1828766,62.03,62.3,1
61.81,2145953,62.56,62.9,2
62.64,2640853,61.33,63.08,1
61.4,3651740,62.38,62.4,2
62.67,1654439,62.32,62.67,1
61.55,2148956,61.29,61.75,1
61.63,2856250,61.57,62.36,1
61.05,2688213,60.6,61.27,1
61,1636134,60,61,1
58.97,3013975,59.85,59.87,2
59.51,2284434,58.3,59.56,1
58.38,7841239,57.4,58.53,1
57.21,4979322,55.08,57.35,1
55.81,4171835,57.38,58.07,2
57.72,2520410,58.36,58.8869,2
59.18,2724127,59.81,60.02,2
58.75,2326585,60.27,60.57,2
60.12,3318557,60.54,61.18,2
59.37,2531978,58.63,59.45,1
58,4869056,57.29,58.34,1
57.97,7406842,58.14,58.73,2
59.81,4793972,61.8,62,2
61.82,3733545,62.26,62.86,2
62.04,2046143,61.64,62.3585,1
62.7,1550274,62.625,62.96,1
62.4,3961626,61.95,62.41,1
61.33,2517162,60.82,62.07,1
60.47,1683612,60.07,60.69,1
59.87,2692084,58.67,59.87,1
59.45,2609376,60.35,60.63,2
61.04,2727211,61.35,62.1,2
61.78,1325126,60.92,61.79,1
59.99,2405552,58.53,60.04,1
60.37,2225512,60.74,61.1,2
62.07,3652182,62.81,63.39,2
62.78,4318025,63,63.51,2
62.53,2464943,62.08,62.9399,1
62.36,1942383,61.27,62.38,1
60.47,2648922,59.17,60.71,1
59.48,3378052,60.87,61.16,2
60.49,3163183,59.55,60.56,1
59.64,3713935,57.91,59.67,1
57.66,2330501,58.96,58.98,2
57.65,4061686,57.82,59.36,2
58.7,5826042,59.78,59.84,2
61.44,2398546,61.8,62.25,2
61.43,3085229,61.44,62.02,2
62.02,2803449,61.22,62.0701,1
60.7,3018795,60.82,61.21,2
60.3,5850879,58.1,61.06,1
57.66,6007564,59.08,59.7184,2
60.22,9100243,58.3,60.25,1
57.35,11869320,59.87,60.59,2
61.62,7689612,62.66,62.82,2
61.88,7792303,64.26,64.28,2
65.15,5828384,64.84,65.21,1
64.79,3528420,66.12,66.48,2
66.55,5148403,67.66,67.76,2
66.85,5091765,66.57,67.43,1
67.22,2785115,67.43,68.08,2
67.45,2133986,68.56,68.59,2
68.97,1500203,69.22,69.3,2
69.26,3123818,69,69.63,1
69.71,1162629,69.6,69.77,1
69.59,2111219,69.08,69.78,1
68.75,1389969,68.98,69,2
68.79,1841285,68.03,68.84,1
67.65,4783117,67.97,68.04,2
68.28,4489680,68.17,68.31,1
67.85,2059585,68.59,68.89,2
68.43,1903624,68.52,69.12,2
68.17,2108892,68.24,68.835,2
68.47,1961217,68.88,69.14,2
69.76,1598015,69.5,69.78,1
70.26,1558817,70.15,70.42,1
69.51,1753511,69.21,69.596,1
69.37,2259240,69.35,69.53,1
69.38,2021223,68.43,69.47,1
68.4,1972750,67.98,68.49,1
67.79,2576767,67.45,67.87,1
67.2,1814080,66.57,67.2,1
66.28,1570056,65.75,66.53,1
65.72,1942126,66.5,66.52,2
66.76,2929491,66.06,66.77,1
66.87,1947035,67.08,67.46,2
67.24,1916606,66.57,67.34,1
66.23,3463192,65.72,66.38,1
65.92,5544359,66.36,66.38,2
65.71,3039980,65.62,66.08,1
65.6,3630537,66.25,66.48,2
66.79,1577061,66.51,67.02,1
65.88,2814591,66.01,66.25,2
65.89,1743251,66.58,66.6,2
66.84,1047848,66.56,67.14,1
66.37,1482478,66.61,66.8,2
66.72,1370921,67.04,67.29,2
66.75,1892489,67.36,67.5,2
67.53,2139750,67.43,68.05,1
68.23,1726440,68.37,68.54,2
68.36,1760565,69.77,69.81,2
69.95,1605972,69.88,69.95,1
69.2,937689,69.11,69.37,1
68.88,1121158,68.31,68.99,1
68.47,1159434,67.95,68.75,1
68.19,984684,68.47,68.6136,2
