2497,,same,up,down
126.67,167993,126.35,126.69,1
126.81,135933.1,127.05,127.72,2
127.16,111475.6,127.06,127.18,1
126.91,97237.3,127,127.07,2
126.64,258248.8,126.9,126.91,2
126.93,292946.3,127.14,127.14,2
127.05,179059.6,127.18,127.21,2
126.79,149663.6,127.11,127.18,2
126.86,146842,126.78,126.96,1
127.07,170810.9,127.58,127.58,2
127.29,162439.4,127.55,127.599,2
127.38,170936.6,127.51,127.57,2
126.96,489467.9,126.91,127.06,1
126.95,181950.8,126.81,126.99,1
127.12,146251.9,127.28,127.28,2
127.04,127638.8,126.51,127.05,1
126.31,200983.7,126.11,126.33,1
126.23,179843.2,126.28,126.45,2
126.23,141094.7,125.77,126.495,1
125.67,151396.5,125.56,125.76,1
125.47,199315.3,125.2,125.63,1
124.58,156018,124.53,124.73,1
124.61,140476,124.5,124.8299,1
124.52,171006.5,123.96,124.62,1
123.66,198184.4,124.44,124.55,2
124.89,216728.1,124.98,125.02,2
124.75,164573.4,124.99,125.3,2
124.45,191002.3,124.76,124.9,2
124.28,235461.2,125.46,125.48,2
125.28,244452.5,124.77,125.41,1
124.11,238607.1,125.09,125.23,2
125.14,260586.3,125.45,125.69,2
125.05,182928.4,124.81,125.19,1
124.74,163931.5,124.78,125.08,2
124.69,336375.3,125.11,125.2,2
125.41,135932.4,126.16,126.17,2
126.27,181650.5,125.67,126.35,1
125.25,201816.6,125.42,125.53,2
125.33,248352.5,124.77,125.345,1
125.61,258410.9,126,126.02,2
125.79,156767.1,125.52,125.84,1
125.17,197352.6,125.06,125.2,1
125.19,258554.9,125.48,126.02,2
125.29,182667.7,125.12,125.53,1
125.07,125334.4,125.12,125.24,2
124.93,298116.5,124.96,125.29,2
125.25,149408.7,125.42,125.5,2
125.41,283934.4,125.09,125.58,1
125,192666.5,124.17,125,1
123.85,204385.1,124.01,124.09,2
123.89,134761,123.87,124.058,1
124.09,132084.6,124,124.15,1
124.11,149177.8,123.9,124.268,1
123.59,155241.3,123.44,123.655,1
123.23,179503.4,123.25,123.3899,2
123.02,180962.5,122.67,123.0951,1
122.37,214327.3,121.91,122.77,1
121.5,288345.3,120.94,122.02,1
121.14,370263,122.31,122.56,2
123.36,212637.4,123.63,123.65,2
123.43,309714.9,123.07,123.59,1
122.77,123529.4,122.91,122.91,2
123.01,149961.7,123.02,123.13,2
123.37,146863.3,123.09,123.38,1
123.1,184551.5,123.36,123.4261,2
123.14,215087.3,123.36,123.45,2
123.33,205766.2,122.95,123.33,1
122.72,156445.9,122.83,122.83,2
122.63,369097.6,122.59,122.78,1
122.93,175591.7,123.09,123.25,2
122.93,198312,122.93,123.1942,0
122.61,179582.7,123.16,123.21,2
123.02,186797.9,123.12,123.21,2
